City,Converted,Country,Created Date,Dead Reason,Email Opt Out,Industry,Key Account,Last Status Change,Lead ID,Lead Source,Lead Status at Conversion,LeadRecordType,LS Team Notified,Next_Step__c (Leads),Pardot Conversion Date,Pardot Created Date,Pardot First Activity,Pardot Last Activity,Primary Research Application,Product Category,Record Type ID,SS Team Notified,State/Province,Status,Campaign Membership Count,Pardot Score
Unknown City,TRUE,United States,10-08-2020,N/A - Converted,FALSE,Biotechnology,FALSE,11-08-2020,00Q5A00001OVFR1UAP,Website,Converted,0125A000001ESVe,FALSE,No Active Next Step,10-08-2020,10-08-2020,05-08-2020,10-08-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,California,Converted,1,120
Unknown City,FALSE,United States,10-08-2020,N/A - Active Lead,TRUE,Communications,FALSE,11-04-2021,00Q5A00001OVFlBUAX,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,10-08-2020,10-08-2020,10-08-2020,11-05-2021,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Florida,Nurturing,1,1
Unknown City,TRUE,United States,11-08-2020,N/A - Converted,FALSE,Chemicals,FALSE,11-08-2020,00Q5A00001OVGOoUAP,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,11-08-2020,11-08-2020,11-08-2020,11-08-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Virginia,Converted,1,101
Unknown City,FALSE,Canada,11-08-2020,N/A - Active Lead,FALSE,Retail,FALSE,11-08-2020,00Q5A00001OVGhqUAH,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,11-08-2020,11-08-2020,11-08-2020,11-08-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Houston,TRUE,United States,11-08-2020,N/A - Converted,FALSE,Other / Unknown,FALSE,11-08-2020,00Q5A00001OVGsFUAX,Inside Sales,Converted,0125A000001NaBG,FALSE,No Active Next Step,,,,,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Texas,Converted,0,0
Unknown City,TRUE,Russia,12-08-2020,N/A - Converted,FALSE,Biotechnology,FALSE,23-02-2021,00Q5A00001OVHEVUA5,Website,MQL,0125A000001ESVd,FALSE,No Active Next Step,12-08-2020,12-08-2020,12-08-2020,30-01-2021,Proteomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Converted,1,"1,098"
Unknown City,FALSE,Canada,12-08-2020,Marketing automation,FALSE,Consulting,FALSE,11-04-2021,00Q5A00001OVHUXUA5,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,12-08-2020,12-08-2020,12-08-2020,13-08-2020,Metabolomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,MQL,1,40
Unknown City,TRUE,United States,12-08-2020,N/A - Converted,FALSE,Other / Unknown,FALSE,24-02-2021,00Q5A00001OVHb9UAH,Website,MQL,0125A000001ESVd,FALSE,No Active Next Step,12-08-2020,12-08-2020,12-08-2020,13-10-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,North Carolina,Converted,2,66
Unknown City,FALSE,United States,12-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,12-08-2020,00Q5A00001OVHgYUAX,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,12-08-2020,12-08-2020,12-08-2020,12-08-2020,Other,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,2
Unknown City,FALSE,Japan,13-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,20-04-2021,00Q5A00001OVIDNUA5,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,22-04-2021,Other,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,336
Unknown City,FALSE,Russia,13-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,12-05-2021,00Q5A00001OVIMpUAP,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,18-05-2021,Proteomics,Uncategorized,0125A000001ESVdQAO,FALSE,Novosibirsk,Nurturing,3,23
Sherbrook,TRUE,Canada,13-08-2020,N/A - Converted,TRUE,Other / Unknown,FALSE,31-03-2021,00Q5A00001OVITWUA5,Website,Nurturing,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,31-03-2021,Proteomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Converted,2,303
Unknown City,TRUE,Denmark,13-08-2020,N/A - Converted,FALSE,Environmental,FALSE,19-08-2020,00Q5A00001OVIUAUA5,Website,SQL,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Converted,1,89
Unknown City,FALSE,American Samoa,13-08-2020,N/A - Active Lead,FALSE,Environmental,FALSE,13-08-2020,00Q5A00001OVIV3UAP,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Proteomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Birmingham,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,13-08-2020,00Q5A00001OVIZKUA5,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,13-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,1
Kangawa,FALSE,Japan,13-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,13-08-2020,00Q5A00001OVIZeUAP,Advertisment,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,5
Pasadena,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Chemicals,FALSE,14-04-2021,00Q5A00001OVIZfUAP,Advertisment,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,13-08-2020,04-08-2020,30-03-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,1
Nashville,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,13-08-2020,00Q5A00001OVIZgUAP,Advertisment,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Tennessee,Nurturing,1,0
Winston-Salem,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Biotechnology,FALSE,13-08-2020,00Q5A00001OVIZhUAP,Advertisment,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,North Carolina,Nurturing,1,1
Malvern,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Biotechnology,FALSE,13-08-2020,00Q5A00001OVIZiUAP,Advertisment,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,1,5
Eureka,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,13-08-2020,00Q5A00001OVIZjUAP,Advertisment,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Missouri,Nurturing,1,1
Winston Salem,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,13-08-2020,00Q5A00001OVIZkUAP,Advertisment,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,North Carolina,Nurturing,1,0
Walnut Creek,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,13-08-2020,00Q5A00001OVIZlUAP,Advertisment,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,California,Nurturing,1,2
Hazelwood,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,13-08-2020,00Q5A00001OVIZmUAP,Advertisment,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Malvern,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,13-08-2020,00Q5A00001OVIZnUAP,Advertisment,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,13-08-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Pennsylvania,Nurturing,1,0
Durango,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,13-08-2020,00Q5A00001OVIZoUAP,Advertisment,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,13-08-2020,26-05-2021,26-05-2021,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,10
Birmingham,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Consulting,FALSE,13-08-2020,00Q5A00001OVIZqUAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,13-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,4
Birmingham,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,13-08-2020,00Q5A00001OVIbCUAX,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,13-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,9,2
Unknown City,FALSE,Germany,13-08-2020,N/A - Active Lead,FALSE,Biotechnology,FALSE,13-08-2020,00Q5A00001OVJ6wUAH,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,Germany,13-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,13-08-2020,00Q5A00001OVJ7aUAH,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Metabolomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,Canada,13-08-2020,N/A - Active Lead,FALSE,Communications,FALSE,13-08-2020,00Q5A00001OVJ7bUAH,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Proteomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,United States,13-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,14-06-2021,00Q5A00001OVJ9bUAH,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,23-06-2021,Other,Uncategorized,0125A000001NaBGQA0,TRUE,Illinois,SQL,2,131
Unknown City,FALSE,United States,13-08-2020,N/A - Active Lead,TRUE,Biotechnology,FALSE,19-01-2021,00Q5A00001OVJDTUA5,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,16-09-2020,Metabolomics,Uncategorized,0125A000001ESVdQAO,FALSE,Maryland,Nurturing,1,0
Unknown City,FALSE,Canada,13-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,13-08-2020,00Q5A00001OVJTbUAP,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Proteomics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Pune,FALSE,India,13-08-2020,Other,FALSE,Chemicals,FALSE,11-04-2021,00Q5A00001OVJU5UAP,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Other,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,7
Unknown City,FALSE,Afghanistan,13-08-2020,N/A - Active Lead,FALSE,Communications,FALSE,13-08-2020,00Q5A00001OVJWpUAP,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,13-08-2020,13-08-2020,13-08-2020,13-08-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,0
Unknown City,TRUE,United Kingdom,14-08-2020,N/A - Converted,FALSE,Chemicals,FALSE,18-08-2020,00Q5A00001OVJqxUAH,Website,SQL,0125A000001ESVe,FALSE,No Active Next Step,14-08-2020,14-08-2020,14-08-2020,14-08-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Converted,1,89
Birmingham,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,14-08-2020,00Q5A00001OVK0YUAX,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,4,1
Mobile,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,14-08-2020,00Q5A00001OVK1CUAX,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,0
Mobile,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,14-08-2020,00Q5A00001OVK2ZUAX,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,1
Mobile,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Chemicals,FALSE,14-08-2020,00Q5A00001OVK3wUAH,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,9,0
Kaltenbach,TRUE,Austria,14-08-2020,N/A - Converted,FALSE,Biotechnology,FALSE,14-08-2020,00Q5A00001OVK9VUAX,Field Sales,Converted,0125A000001NaBG,FALSE,No Active Next Step,,,,,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Converted,0,0
Doha,TRUE,Qatar,14-08-2020,N/A - Converted,FALSE,Consulting,FALSE,14-08-2020,00Q5A00001OVKAsUAP,Field Sales,Converted,0125A000001NaBG,FALSE,No Active Next Step,,,,,CWAs,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Converted,0,0
Huntsville,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,14-08-2020,00Q5A00001OVKK5UAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,9,2
Huntsville,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Biotechnology,FALSE,14-08-2020,00Q5A00001OVKKsUAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,5,0
Huntsville,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,14-08-2020,00Q5A00001OVKMyUAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,9,2
Urbana,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,14-08-2020,00Q5A00001OVKOfUAP,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,14-08-2020,14-08-2020,14-08-2020,Metabolomics,Uncategorized,0125A000001ESVdQAO,FALSE,Illinois,Nurturing,1,0
Montgomery,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,14-08-2020,00Q5A00001OVKPEUA5,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,06-10-2020,18-03-2021,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,9,1
Montgomery,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,14-08-2020,00Q5A00001OVKPiUAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,3
Montgomery,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,14-08-2020,00Q5A00001OVKR0UAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,9,1
Montgomery,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,14-08-2020,00Q5A00001OVKRZUA5,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,2
Montgomery,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,14-08-2020,00Q5A00001OVKTGUA5,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,9,0
Montgomery,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,14-08-2020,00Q5A00001OVKU9UAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,0
Montgomery,FALSE,United States,14-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,14-08-2020,00Q5A00001OVKV2UAP,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,14-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,8,0
Unknown City,FALSE,Australia,16-08-2020,Other,FALSE,Chemicals,FALSE,09-03-2021,00Q5A00001OVL5pUAH,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,16-08-2020,16-08-2020,16-08-2020,16-08-2020,Other,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Disqualified,1,0
Unknown City,FALSE,United States,16-08-2020,Contact has moved,FALSE,Communications,FALSE,09-09-2020,00Q5A00001OVLHlUAP,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,16-08-2020,16-08-2020,16-08-2020,08-09-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Disqualified,1,108
Unknown City,TRUE,United Kingdom,17-08-2020,N/A - Converted,FALSE,Construction,FALSE,18-03-2021,00Q5A00001OVLcjUAH,Website,MQL,0125A000001ESVd,FALSE,No Active Next Step,17-08-2020,17-08-2020,17-08-2020,04-03-2021,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Converted,1,134
Unknown City,FALSE,Canada,17-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,17-08-2020,00Q5A00001OVLvXUAX,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,17-08-2020,17-08-2020,17-08-2020,17-08-2020,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Unknown,Nurturing,1,15
Cambridge,TRUE,United States,17-08-2020,N/A - Converted,FALSE,Biotechnology,FALSE,02-09-2020,00Q5A00001OVMGFUA5,Other,SQL,0125A000001ESVd,FALSE,No Active Next Step,,17-08-2020,,,Not Specified,System,0125A000001ESVdQAO,FALSE,Massachusetts,Converted,0,0
Unknown City,FALSE,United States,18-08-2020,N/A - Active Lead,FALSE,Biotechnology,FALSE,18-08-2020,00Q5A00001OVN9pUAH,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,18-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,5,0
Hopkinton,FALSE,United States,18-08-2020,Competitor,FALSE,Biotechnology,FALSE,14-10-2020,00Q5A00001OVPnvUAH,Website,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,18-08-2020,18-08-2020,18-08-2020,25-03-2021,Biotherapeutics,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Disqualified,4,874
"Blacksburg,",FALSE,United States,18-08-2020,N/A - Active Lead,FALSE,Banking,FALSE,15-04-2021,00Q5A00001OVPvfUAH,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,07-05-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Virginia,Nurturing,0,4
Tempe,FALSE,United States,18-08-2020,Other,FALSE,Apparel,FALSE,08-01-2021,00Q5A00001OVQ14UAH,Prospecting Journey,Not Converted,0125A000001ESVd,FALSE,No Active Next Step,,07-05-2020,,,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Arizona,Disqualified,0,37
Marshall,FALSE,United States,18-08-2020,N/A - Active Lead,FALSE,Agriculture,FALSE,18-08-2020,00Q5A00001OVQ5kUAH,Advertisement,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,18-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Arkansas,Nurturing,10,0
Unknown City,FALSE,Vietnam,19-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,19-08-2020,00Q5A00001OVQT8UAP,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,19-08-2020,19-08-2020,19-08-2020,19-08-2020,All Hazards,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Nurturing,1,0
Unknown City,FALSE,United States,19-08-2020,N/A - Active Lead,FALSE,Chemicals,FALSE,11-04-2021,00Q5A00001OVQVdUAP,Website,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,19-08-2020,19-08-2020,19-08-2020,19-08-2020,Not Specified,Uncategorized,0125A000001NaBGQA0,FALSE,Alabama,Nurturing,1,0
Unknown City,TRUE,Kosovo,19-08-2020,N/A - Converted,FALSE,Biotechnology,FALSE,19-08-2020,00Q5A00001OVQoHUAX,Website,Converted,0125A000001ESVd,FALSE,No Active Next Step,19-08-2020,19-08-2020,19-08-2020,19-08-2020,Explosives;Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Unknown,Converted,1,21
Lexington,FALSE,United States,19-08-2020,N/A - Active Lead,FALSE,Other / Unknown,FALSE,19-08-2020,00Q5A00001OVQu5UAH,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,27-04-2020,19-06-2020,19-08-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Nurturing,0,0
Aurora,FALSE,United States,19-08-2020,N/A - Active Lead,FALSE,Apparel,FALSE,19-08-2020,00Q5A00001OVQuAUAX,Inside Sales,Not Converted,0125A000001NaBG,FALSE,No Active Next Step,,19-08-2020,,,Drugs,Uncategorized,0125A000001NaBGQA0,FALSE,Colarado,Nurturing,9,1
Worcester,FALSE,United States,19-08-2020,N/A - Active Lead,TRUE,Consulting,FALSE,19-08-2020,00Q5A00001OVQuUUAX,Prospecting Journey,Not Converted,0125A000001ESVe,FALSE,No Active Next Step,,27-04-2020,19-08-2020,15-10-2020,Not Specified,Uncategorized,0125A000001ESVdQAO,FALSE,Massachusetts,Nurturing,0,0
